technology,rsp,state,geography,download_busy,upload_busy,latency_busy,tier,underperforming
Fibre to the Premises,Launtel,TAS,Major Rural,104.87,18.19,13.19,100/20 Mbps,FALSE
Fibre to the Premises,Leaptel,NT + SA,Urban,105.56,18.94,10.44,100/20 Mbps,FALSE
Fibre to the Premises,Dodo & iPrimus,VIC,Urban,105.85,18.85,5.43,100/20 Mbps,FALSE
Fibre to the Premises,Aussie Broadband,VIC,Urban,106.68,37.88,4.32,100/40 Mbps,FALSE
Hybrid Fibre Coaxial,Exetel,VIC,Urban,104.51,37.42,8.78,100/40 Mbps,FALSE
Fibre to the Premises,Superloop,TAS,Urban,89.47,18.9,9.93,100/20 Mbps,FALSE
Hybrid Fibre Coaxial,Telstra,VIC,Urban,108.46,18.7,10.18,100/20 Mbps,FALSE
Fibre to the Node,Optus,TAS,Urban,108.85,18.96,18.5,100/20 Mbps,FALSE
Fibre to the Premises,Leaptel,VIC,Urban,52.79,18.85,2.44,50/20 Mbps,FALSE
Fibre to the Premises,Dodo & iPrimus,VIC,Urban,53.2,18.85,4.16,50/20 Mbps,FALSE
Fibre to the Node,Telstra,VIC,Major Rural,47.08,19.02,13.12,50/20 Mbps,FALSE
Fibre to the Node,TPG,NT + SA,Minor Rural,24.97,4.63,31.34,25/5 Mbps,FALSE
Fibre to the Premises,Superloop,NT + SA,Major Rural,107.13,18.78,21.18,100/20 Mbps,FALSE
Fibre to the Premises,Other RSPs,VIC,Urban,89.53,18.77,5.94,100/20 Mbps,FALSE
Hybrid Fibre Coaxial,Superloop,VIC,Urban,271.55,23.6,9,250/25 Mbps,FALSE
Fibre to the Premises,iiNet,VIC,Urban,53.45,18.96,2.25,50/20 Mbps,FALSE
Hybrid Fibre Coaxial,Other RSPs,VIC,Urban,53.17,18.51,10.32,50/20 Mbps,FALSE
Fibre to the Premises,Dodo & iPrimus,VIC,Urban,266.04,23.68,6.17,250/25 Mbps,FALSE
Fibre to the Node,Aussie Broadband,VIC,Urban,41.9,12.16,10.81,50/20 Mbps,FALSE
Fibre to the Curb,TPG,VIC,Urban,106.82,18.82,4.99,100/20 Mbps,FALSE
Fibre to the Node,Leaptel,VIC,Urban,82.13,18.95,6.41,100/20 Mbps,FALSE
Fibre to the Premises,Optus,VIC,Urban,107.96,18.53,3.03,100/20 Mbps,FALSE
